"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"768983687207583745","","","2016-08-26 01:29:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @mhawksey: It lives! Keeping your Twitter Archive fresh and freely hosted on @Github Pages with a bit of Google Apps Script https://t.co…","768924527757815812","13046992","2016-08-25 21:34:28 +0000","https://mashe.hawksey.info/2016/08/keeping-your-twitter-archive-fresh-and-freely-hosted-on-github-pages/,https://mashe.hawksey.info/2016/08/keeping-your-twitter-archive-fresh-and-freely-hosted-on-github-pages/"
"768888944465354756","","","2016-08-25 19:13:04 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MeasuringU: Essential and Desirable Skills for a UX Designer (UXMatters) https://t.co/n7HK8bvbjl","768871071110033408","103951768","2016-08-25 18:02:02 +0000","http://ow.ly/WWih303u9F2,http://ow.ly/WWih303u9F2"
"768844247717912576","","","2016-08-25 16:15:27 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Brumface: Registering and setting up your additional domain from start to finish in your @ReclaimHosting account: https://t.co/HSQOoA10…","768843308965572610","60716903","2016-08-25 16:11:43 +0000","https://community.reclaimhosting.com/t/how-to-register-and-set-up-an-additional-domain/249,https://community.reclaimhosting.com/t/how-to-register-and-set-up-an-additional-domain/249"
"768836065285120000","","","2016-08-25 15:42:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @JustStormy: Why replacing teachers with automated education lacks imagination https://t.co/oxKP6gxreA","768829443318046720","27633854","2016-08-25 15:16:38 +0000","http://www.thetechedvocate.org/replacing-teachers-automated-education-lacks-imagination/,http://www.thetechedvocate.org/replacing-teachers-automated-education-lacks-imagination/"
"768662879721566208","768660793327923201","16847370","2016-08-25 04:14:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro I am very similar, except for me it's 4:00pm which is the no-fly zone 🙂","","","",""
"768657608345399296","","","2016-08-25 03:53:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @btopro: “Every course, author, instructor, learner and context is unique. We celebrate this in the… architecture” https://t.co/maY3RHzi…","768657049479634949","16847370","2016-08-25 03:51:36 +0000","https://www.elmsln.org/guiding-principles,https://www.elmsln.org/guiding-principles"
"768565059433836544","","91939908","2016-08-24 21:46:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@davidnwright Did you ever check out the markdown-based slides app @swipe_to? Because if not yet you should - they just added GIPHY support🙂","","","",""
"768560663824257024","","","2016-08-24 21:28:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Really ❤️  the 'multi-deck' view that @swipe_to gives me as I build slides for #SFU CMPT-363. Markdown-based too 👍 https://t.co/zQ7WMEQDsg","","","","https://twitter.com/hibbittsdesign/status/768560663824257024/photo/1"
"768533635376910336","","","2016-08-24 19:41:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NomadWarMachine: Fantastic stuff from @audreywatters about the importance of space, not ownership, online https://t.co/bz3YCSyNDY #CLMo…","768394162064490496","558091832","2016-08-24 10:26:58 +0000","http://hackeducation.com/2016/08/23/domains,http://hackeducation.com/2016/08/23/domains"
"768521021305479168","","","2016-08-24 18:51:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @stephanierieger: Wow. Really thoughtful design leveraging human skill, simple, learnable affordances, and AR. https://t.co/YJOOsYrZOW","768520122973638657","6868612","2016-08-24 18:47:30 +0000","https://twitter.com/jnymck/status/768518934890893312,https://twitter.com/jnymck/status/768518934890893312"
